RecordedDate,ResponseId,Clicks,IS,Charity,ISMC,IncImp,inc1,inc2,PMMC,pm1,pm2,CharityImp,CharityImp1,CharityImp2,CharityImp3,Focus_other,gender,age,duplicate
2021-04-14 14:02,R_1dEK8dFoFknL0D1,279,-1,-1,3,2,2,2,2,2,2,3,3,3,3,1,-1,37,0
2021-04-14 14:02,R_1CjcRzGAqWZwOBi,710,-1,-1,6,6,6,6,7,7,7,4,4,4,4,7,-1,31,0
2021-04-14 14:02,R_1LnxI4uk2wcVeNo,267,-1,-1,1,2,3,1,2,2,2,4.33,4,5,4,3,-1,27,0
2021-04-14 14:02,R_2w0o7GBgZ6Z6PWi,715,1,-1,5,7,7,7,4.5,5,4,3.33,3,4,3,6,1,36,0
2021-04-14 14:02,R_26ajSqYuRmxGWeY,506,-1,1,2,7,7,7,7,7,7,6,6,6,6,5,-1,68,0
2021-04-14 14:02,R_1kHc1I9LrSrM9fM,603,-1,-1,2,6.5,7,6,7,7,7,6,6,6,6,4,-1,59,0
2021-04-14 14:02,R_3OjfnEFzFPaRQkX,466,-1,1,5,7,7,7,7,7,7,7,7,7,7,6,1,48,0
2021-04-14 14:02,R_32RaAJh7qf25b1A,564,1,1,3,5.5,7,4,7,7,7,7,7,7,7,7,-1,59,0
2021-04-14 14:02,R_3yr4H8bC84T8vWV,494,-1,1,1,6,6,6,6,6,6,7,7,7,7,5,-1,51,0
2021-04-14 14:02,R_en6nSU4Wyr8FTOx,791,1,-1,4,7,7,7,5,5,5,4,4,4,4,7,1,39,0
2021-04-14 14:02,R_1g7wkTbmwUOsnQE,1087,-1,1,4,6.5,6,7,7,7,7,7,7,7,7,5,1,34,0
2021-04-14 14:03,R_CliVuYEHORoWdd7,179,-1,-1,4,4.5,4,5,4.5,5,4,5.67,5,6,6,5,1,24,0
2021-04-14 14:03,R_UcPk3Uv5IR16bzb,152,-1,-1,4,1,1,1,1,1,1,2,1,4,1,1,1,60,0
2021-04-14 14:03,R_3fVmamyalInvDxe,956,-1,-1,7,7,7,7,1,1,1,1.67,1,2,2,1,1,39,0
2021-04-14 14:03,R_QbMez7olM2clxHH,492,1,-1,5,5,5,5,4,4,4,4,4,4,4,4,-1,28,0
2021-04-14 14:03,R_2SdzqYfsS0REqgx,657,1,1,1,4,7,1,7,7,7,7,7,7,7,4,-1,56,0
2021-04-14 14:03,R_1LUQV0GkkvRu7Dk,304,1,-1,4,6.5,6,7,5,5,5,4.67,4,5,5,6,1,74,0
2021-04-14 14:04,R_2yp7Rp4OhVNzSd4,762,1,1,7,6,6,6,6,6,6,6,6,6,6,4,1,35,0
2021-04-14 14:04,R_2TGffQn57WtPiZD,366,1,-1,4,1,1,1,1,1,1,1.33,1,2,1,1,-1,30,0
2021-04-14 14:04,R_30nQVGUYGbSNjdr,438,1,1,3,4,4,4,5,5,5,7,7,7,7,5,1,25,0
2021-04-14 14:04,R_3im6H4eKPwHPGsR,620,1,-1,7,7,7,7,4,4,4,1.33,1,2,1,1,-1,47,0
2021-04-14 14:04,R_2XhZGTSunIAf7HN,275,-1,-1,1,3,5,1,1,1,1,1.33,1,1,2,1,-1,51,0
