Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
16-May-2018_14:13:16 7314 19 female R 2 2 19 moral immoralOther U u 1 0.5266 
16-May-2018_14:13:19 7314 19 female R 2 2 20 moral moralSelf Y y 1 0.5649 
16-May-2018_14:13:21 7314 19 female R 2 2 21 moral immoralSelf U u 1 0.9249 
16-May-2018_14:13:23 7314 19 female R 2 2 22 moral moralOther Y y 1 0.8650 
16-May-2018_14:13:25 7314 19 female R 2 2 23 moral moralOther Y u 0 0.8072 
16-May-2018_14:13:27 7314 19 female R 2 2 24 moral immoralOther U u 1 0.7173 
16-May-2018_14:13:38 7314 19 female R 2 3 1 moral moralSelf Y u 0 0.9979 
16-May-2018_14:13:40 7314 19 female R 2 3 2 moral moralOther Y y 1 0.6021 
16-May-2018_14:13:42 7314 19 female R 2 3 3 moral immoralSelf U u 1 0.8920 
16-May-2018_14:13:44 7314 19 female R 2 3 4 moral moralOther Y y 1 0.5823 
16-May-2018_14:13:46 7314 19 female R 2 3 5 moral moralSelf Y y 1 0.8424 
16-May-2018_14:13:48 7314 19 female R 2 3 6 moral immoralSelf U u 1 0.5125 
16-May-2018_14:13:49 7314 19 female R 2 3 7 moral immoralOther U u 1 0.6026 
16-May-2018_14:13:51 7314 19 female R 2 3 8 moral immoralOther U u 1 0.5607 
16-May-2018_14:13:53 7314 19 female R 2 3 9 moral immoralOther U u 1 0.3988 
16-May-2018_14:13:55 7314 19 female R 2 3 10 moral immoralSelf U u 1 0.7568 
16-May-2018_14:13:56 7314 19 female R 2 3 11 moral immoralSelf U u 1 0.5190 
16-May-2018_14:13:58 7314 19 female R 2 3 12 moral immoralOther U u 1 0.9251 
16-May-2018_14:14:00 7314 19 female R 2 3 13 moral immoralOther U u 1 0.6572 
16-May-2018_14:14:01 7314 19 female R 2 3 14 moral immoralOther U u 1 0.3973 
16-May-2018_14:14:03 7314 19 female R 2 3 15 moral immoralSelf U u 1 0.5534 
