"SubjectID","Age","Gender","Handness","moralSelfShape","immoralSelfShape","moralOtherShape","immoralOtherShape","matchKey","mismatchKey","Block","Bin","Trial","Identity","Morality","Match","RT","ResponseKey","Accuracy"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","20","other","moral","nonmatch","0.7969","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","21","self","immoral","nonmatch","0.9072","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","22","self","immoral","nonmatch","0.8572","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","23","other","immoral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","1","5","24","other","immoral","nonmatch","0.8777","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","1","other","moral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","2","self","moral","match","0.7084","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","3","other","immoral","nonmatch","0.6904","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","4","self","immoral","match","0.6565","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","5","self","immoral","nonmatch","0.5828","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","6","other","moral","match","0.5009","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","7","self","immoral","nonmatch","0.7313","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","8","self","moral","match","0.6573","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","9","other","moral","match","0.5675","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","10","other","moral","nonmatch","0.8056","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","11","other","immoral","match","0.7079","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","12","self","moral","nonmatch","0.7701","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","13","self","immoral","nonmatch","0.7923","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","14","other","immoral","match","0.6305","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","15","other","moral","match","0.6927","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","16","self","moral","match","0.6429","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","17","self","immoral","match","0.5769","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","18","other","immoral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","19","other","immoral","nonmatch","0.7813","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","20","other","moral","nonmatch","0.8356","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","21","self","immoral","match","0.4978","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","22","self","moral","nonmatch","0.7919","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","23","self","moral","nonmatch","0.7341","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","1","24","other","immoral","match","0.8283","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","1","other","immoral","nonmatch","0.7945","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","2","self","moral","match","0.8567","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","3","self","immoral","match","0.7668","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","4","other","immoral","nonmatch","0.8290","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","5","other","moral","nonmatch","0.8113","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","6","self","moral","nonmatch","0.8575","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","7","self","immoral","nonmatch","0.6076","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","8","other","immoral","nonmatch","0.7819","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","9","self","immoral","match","0.6361","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","10","self","immoral","nonmatch","0.8901","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","11","other","moral","match","0.7843","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","12","self","moral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","13","self","immoral","nonmatch","1.0047","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","14","other","moral","nonmatch","0.8669","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","15","other","moral","match","0.5771","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","16","self","moral","match","0.7672","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","17","other","immoral","match","0.7415","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","18","self","immoral","match","0.8916","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","19","other","immoral","match","0.8338","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","20","other","immoral","match","0.6080","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","21","self","moral","nonmatch","0.7342","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","22","other","moral","nonmatch","0.8764","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","23","other","moral","match","0.7626","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","2","24","self","moral","match","0.8167","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","1","other","immoral","match","0.9909","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","2","self","immoral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","3","self","immoral","match","0.5873","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","4","other","immoral","match","0.7055","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","5","other","moral","nonmatch","0.5836","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","6","other","moral","match","0.6378","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","7","self","moral","match","0.7960","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","8","other","moral","nonmatch","0.7942","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","9","self","moral","nonmatch","0.9123","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","10","other","moral","match","0.6706","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","11","other","moral","nonmatch","0.9328","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","12","other","immoral","match","0.8590","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","13","self","immoral","nonmatch","0.9691","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","14","other","immoral","nonmatch","0.9193","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","15","self","immoral","match","0.6375","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","16","self","moral","match","0.7157","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","17","other","moral","match","0.7138","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","18","other","immoral","nonmatch","0.8560","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","19","self","immoral","nonmatch","0.6622","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","20","self","moral","nonmatch","0.9323","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","21","self","moral","nonmatch","0.7627","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","22","self","moral","match","0.9447","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","2","3","23","other","immoral","nonmatch","0.7830","M","1"
