id,GENDER,SE_perf,SE_soc,SE_phys,SSES,personality,BFI10_1PP,BFI10_3PP_sp,BFI10_3PP_real
43,1,4.571428571,3,3.333333333,10.9,1,3,3.083333,2.666667
43,1,4.571428571,3,3.333333333,10.9,2,3.5,3.133333,2.45
43,1,4.571428571,3,3.333333333,10.9,3,2,3.383333,3.233333
43,1,4.571428571,3,3.333333333,10.9,4,5,3.083333,2.983333
43,1,4.571428571,3,3.333333333,10.9,5,5,3.083333,2.916667
44,2,3,2.714285714,2.666666667,8.38,1,1.5,3.366667,3.7
44,2,3,2.714285714,2.666666667,8.38,2,4.5,3.2,3.05
44,2,3,2.714285714,2.666666667,8.38,3,4.5,3.333333,4
44,2,3,2.714285714,2.666666667,8.38,4,4.5,2.866667,2.45
44,2,3,2.714285714,2.666666667,8.38,5,4,2.966667,3.166667
45,1,3.571428571,2.857142857,3.333333333,9.76,1,2.5,3.766667,3.216667
45,1,3.571428571,2.857142857,3.333333333,9.76,2,3.5,3.2,3.066667
45,1,3.571428571,2.857142857,3.333333333,9.76,3,3,3.583333,3.3
45,1,3.571428571,2.857142857,3.333333333,9.76,4,3,2.633333,2.9
45,1,3.571428571,2.857142857,3.333333333,9.76,5,4,3.35,3.116667
46,2,4.714285714,4.571428571,3.833333333,13.12,1,4.5,3.7,3.566667
46,2,4.714285714,4.571428571,3.833333333,13.12,2,2.5,3.316667,2.483333
46,2,4.714285714,4.571428571,3.833333333,13.12,3,2.5,3.35,3.266667
46,2,4.714285714,4.571428571,3.833333333,13.12,4,2.5,2.316667,2.733333
46,2,4.714285714,4.571428571,3.833333333,13.12,5,4.5,3.083333,2.316667
47,1,3,2.857142857,2.833333333,8.69,1,4,3.65,3.5
47,1,3,2.857142857,2.833333333,8.69,2,3,3.15,3.316667
47,1,3,2.857142857,2.833333333,8.69,3,3,3.2,3.45
47,1,3,2.857142857,2.833333333,8.69,4,2,2.85,3.116667
47,1,3,2.857142857,2.833333333,8.69,5,3.5,3.183333,3.533333
48,1,3.714285714,3.714285714,3.5,10.93,1,4.5,3.216667,3.7
48,1,3.714285714,3.714285714,3.5,10.93,2,4.5,3.133333,2.85
48,1,3.714285714,3.714285714,3.5,10.93,3,4,3.316667,3.266667
48,1,3.714285714,3.714285714,3.5,10.93,4,4,2.95,3.116667
48,1,3.714285714,3.714285714,3.5,10.93,5,3,3.366667,3.266667
49,1,4.142857143,3.714285714,3.833333333,11.69,1,4.5,3.783333,3.55
49,1,4.142857143,3.714285714,3.833333333,11.69,2,5,3.35,3.7
49,1,4.142857143,3.714285714,3.833333333,11.69,3,3,3.75,3.466667
49,1,4.142857143,3.714285714,3.833333333,11.69,4,2.5,2.666667,2.5
49,1,4.142857143,3.714285714,3.833333333,11.69,5,4,3.433333,3.7
50,1,3.714285714,2.857142857,3.333333333,9.9,1,2.5,3.35,3.066667
50,1,3.714285714,2.857142857,3.333333333,9.9,2,4.5,3.416667,2.783333
50,1,3.714285714,2.857142857,3.333333333,9.9,3,4.5,3.75,3.383333
50,1,3.714285714,2.857142857,3.333333333,9.9,4,4,2.483333,3.116667
50,1,3.714285714,2.857142857,3.333333333,9.9,5,3,3.416667,3.183333
51,1,4.571428571,4.428571429,4.166666667,13.17,1,3,3.6,3.05
51,1,4.571428571,4.428571429,4.166666667,13.17,2,5,3.166667,3.416667
51,1,4.571428571,4.428571429,4.166666667,13.17,3,4,3.383333,3.383333
51,1,4.571428571,4.428571429,4.166666667,13.17,4,2,2.8,2.8
51,1,4.571428571,4.428571429,4.166666667,13.17,5,4.5,3.233333,3.216667
52,1,4.428571429,4.571428571,4,13,1,3,3.266667,3.233333
52,1,4.428571429,4.571428571,4,13,2,3,3.133333,3.05
52,1,4.428571429,4.571428571,4,13,3,3.5,3.366667,3.183333
52,1,4.428571429,4.571428571,4,13,4,4,2.533333,3.2
52,1,4.428571429,4.571428571,4,13,5,4,3.316667,3.366667
53,1,4,3.714285714,2.833333333,10.55,1,2,3.016667,3.066667
53,1,4,3.714285714,2.833333333,10.55,2,3,2.65,2.9
53,1,4,3.714285714,2.833333333,10.55,3,5,3.183333,3.5
53,1,4,3.714285714,2.833333333,10.55,4,1.5,2.966667,2.816667
53,1,4,3.714285714,2.833333333,10.55,5,3,2.983333,3.083333
54,1,3.714285714,3.285714286,3.5,10.5,1,2.5,2.5,3.95
54,1,3.714285714,3.285714286,3.5,10.5,2,2.5,2.9,3.5
54,1,3.714285714,3.285714286,3.5,10.5,3,3.5,3.3,3.6
54,1,3.714285714,3.285714286,3.5,10.5,4,4.5,3.2,2.483333
54,1,3.714285714,3.285714286,3.5,10.5,5,5,2.95,3.483333
55,1,4,3.571428571,3,10.57,1,4.5,3.233333,3.016667
55,1,4,3.571428571,3,10.57,2,2,3.316667,3.416667
55,1,4,3.571428571,3,10.57,3,5,3.483333,3.45
55,1,4,3.571428571,3,10.57,4,2.5,2.666667,2.866667
55,1,4,3.571428571,3,10.57,5,5,3.516667,3.383333
56,1,2.142857143,3.142857143,3.166666667,8.45,1,2,2.783333,3.233333
56,1,2.142857143,3.142857143,3.166666667,8.45,2,3.5,3.033333,3.366667
56,1,2.142857143,3.142857143,3.166666667,8.45,3,4,3.433333,3.266667
56,1,2.142857143,3.142857143,3.166666667,8.45,4,5,3.166667,2.816667
56,1,2.142857143,3.142857143,3.166666667,8.45,5,5,3.25,3.416667
57,1,4,3.714285714,4.166666667,11.88,1,5,3.666667,3.683333
57,1,4,3.714285714,4.166666667,11.88,2,4.5,3.4,3.033333
57,1,4,3.714285714,4.166666667,11.88,3,3.5,3.35,2.916667
57,1,4,3.714285714,4.166666667,11.88,4,3.5,2.533333,3.05
57,1,4,3.714285714,4.166666667,11.88,5,4.5,3.383333,2.966667
58,1,3.714285714,3.142857143,3,9.86,1,4.5,3.2,3.383333
58,1,3.714285714,3.142857143,3,9.86,2,2.5,3.25,2.85
58,1,3.714285714,3.142857143,3,9.86,3,4,3.516667,2.7
58,1,3.714285714,3.142857143,3,9.86,4,3.5,2.6,3.283333
58,1,3.714285714,3.142857143,3,9.86,5,2,3.283333,2.933333
59,1,4.428571429,4.142857143,3.833333333,12.4,1,2.5,2.783333,2.75
59,1,4.428571429,4.142857143,3.833333333,12.4,2,4,3.016667,3.35
59,1,4.428571429,4.142857143,3.833333333,12.4,3,2.5,3.3,2.916667
59,1,4.428571429,4.142857143,3.833333333,12.4,4,2,3.083333,2.966667
59,1,4.428571429,4.142857143,3.833333333,12.4,5,3,2.9,3.233333
60,2,3.571428571,3.571428571,2.666666667,9.81,1,3.5,3.166667,3.65
60,2,3.571428571,3.571428571,2.666666667,9.81,2,3.5,3.133333,3.216667
60,2,3.571428571,3.571428571,2.666666667,9.81,3,4.5,3.383333,3.566667
60,2,3.571428571,3.571428571,2.666666667,9.81,4,2,2.8,2.716667
60,2,3.571428571,3.571428571,2.666666667,9.81,5,5,2.983333,3.333333
61,1,3.857142857,3.142857143,3.166666667,10.17,1,3,3.116667,2.883333
61,1,3.857142857,3.142857143,3.166666667,10.17,2,3.5,3.416667,3.35
61,1,3.857142857,3.142857143,3.166666667,10.17,3,3,3.266667,3.266667
61,1,3.857142857,3.142857143,3.166666667,10.17,4,2.5,2.883333,3.216667
61,1,3.857142857,3.142857143,3.166666667,10.17,5,5,3.266667,3.166667
62,2,5,4.428571429,4.833333333,14.26,1,5,3.616667,3.333333
62,2,5,4.428571429,4.833333333,14.26,2,4,3.05,3.3
62,2,5,4.428571429,4.833333333,14.26,3,3,3.266667,3.633333
62,2,5,4.428571429,4.833333333,14.26,4,2,2.333333,2.566667
62,2,5,4.428571429,4.833333333,14.26,5,2.5,2.716667,3.433333
63,2,4,3.571428571,3.166666667,10.74,1,3,3.266667,3.066667
63,2,4,3.571428571,3.166666667,10.74,2,3,3.15,3.216667
63,2,4,3.571428571,3.166666667,10.74,3,2.5,3.416667,2.583333
63,2,4,3.571428571,3.166666667,10.74,4,3,2.566667,2.983333
63,2,4,3.571428571,3.166666667,10.74,5,3.5,3.166667,3.233333
64,2,4.142857143,3.428571429,3,10.57,1,2.5,3.383333,2.85
64,2,4.142857143,3.428571429,3,10.57,2,5,3.25,2.7
64,2,4.142857143,3.428571429,3,10.57,3,3.5,3.533333,2.7
64,2,4.142857143,3.428571429,3,10.57,4,2.5,2.7,3.083333
64,2,4.142857143,3.428571429,3,10.57,5,4,3.116667,3.083333
65,2,4,4,3.666666667,11.67,1,4.5,2.733333,3.216667
65,2,4,4,3.666666667,11.67,2,4.5,3.016667,3.383333
65,2,4,4,3.666666667,11.67,3,3.5,2.966667,3.15
65,2,4,4,3.666666667,11.67,4,1.5,3,2.733333
65,2,4,4,3.666666667,11.67,5,3,2.616667,2.9
66,2,3.714285714,2,3.166666667,8.88,1,1,3.8,3.383333
66,2,3.714285714,2,3.166666667,8.88,2,3,3.5,2.7
66,2,3.714285714,2,3.166666667,8.88,3,4.5,3.566667,2.65
66,2,3.714285714,2,3.166666667,8.88,4,4.5,2.333333,3.433333
66,2,3.714285714,2,3.166666667,8.88,5,4,3.3,2.7
67,2,3.428571429,3,3.166666667,9.6,1,2.5,3.533333,3.266667
67,2,3.428571429,3,3.166666667,9.6,2,3.5,2.95,2.55
67,2,3.428571429,3,3.166666667,9.6,3,3.5,3.2,2.85
