"subject","Mixed_Forg","Mixed_Mem","SS3_Forg","SS3_Mem","SS6_Forg","SS6_Mem"
"61006136e1c5a315288352f9",0.5625,0.965277777777778,0.833333333333333,0.989583333333333,0.395833333333333,0.829861111111111
"6100bf808cbfb119d394ecd8",0.6875,0.604166666666667,0.670138888888889,0.767361111111111,0.715277777777778,0.548611111111111
"6100d64e404145c71b3bc360",0.881944444444444,1,1,1,0.979166666666667,0.875
"61010400617800821cac834e",0.833333333333333,0.979166666666667,1,1,0.795138888888889,0.899305555555556
"61010c4a28c3079eeacc3b8c",0.697916666666667,0.909722222222222,1,1,0.871527777777778,0.940972222222222
"610168bb050449e6d6d4bfbe",0.927083333333333,0.909722222222222,1,0.90625,0.770833333333333,0.944444444444444
"61017dbbf8b1afba48b7822e",0.743055555555556,0.829861111111111,0.979166666666667,0.916666666666667,0.788194444444444,0.888888888888889
"6101930ddd5330f83b898c61",0.795138888888889,0.996527777777778,0.993055555555556,1,0.690972222222222,0.902777777777778
"6101e7f68ba54befff1550d1",0.958333333333333,0.881944444444444,1,1,0.864583333333333,0.979166666666667
"610204876b5984743ef2a81e",0.815972222222222,0.940972222222222,0.993055555555556,0.986111111111111,0.767361111111111,0.791666666666667
"6103688918416a123fdfcf68",0.756944444444444,0.947916666666667,0.958333333333333,1,0.90625,0.90625
"6104107117d04757d0182858",0.8125,0.888888888888889,0.864583333333333,1,0.90625,0.954861111111111
"6107a72fb967e5834664701f",0.888888888888889,0.934027777777778,0.993055555555556,0.993055555555556,0.888888888888889,0.84375
"6107acfe97c63575a2344e36",0.722222222222222,0.951388888888889,0.916666666666667,1,0.770833333333333,0.868055555555556
"610810f532bc885e17a6ce8a",0.940972222222222,0.975694444444444,0.996527777777778,1,0.961805555555556,0.972222222222222
"610845a32ad523391ef05085",0.868055555555556,0.9375,0.958333333333333,0.958333333333333,0.753472222222222,1
"61084ef64474c4a0dedcf4f2",0.888888888888889,1,1,1,0.833333333333333,0.986111111111111
"6109a7337fd93218ba5926c0",0.715277777777778,0.743055555555556,0.826388888888889,0.878472222222222,0.517361111111111,0.979166666666667
"610a06e4613ff666139fd6d9",0.774305555555556,0.986111111111111,1,1,0.725694444444444,0.909722222222222
