"Subj";"Trial";"b1";"b2";"b3";"b4";"Cat";"Imgname"
"s07";"14";32;24;2;3;"RA";"ra05"
"s07";"15";44;23;11;2;"GA";"ga19"
"s07";"16";46;42;0;3;"RA";"ra13"
"s07";"17";51;49;59;2;"SR";"s07_sr18"
"s07";"18";63;58;50;2;"SR";"s07_sr11"
"s07";"19";28;8;73;2;"GA";"ga20"
"s07";"20";70;78;37;2;"NR";"s08_sr17"
"s07";"21";32;20;2;3;"GA";"ga01"
"s07";"22";43;25;12;3;"NR";"s08_sr05"
"s07";"23";35;41;0;3;"RA";"ra18"
"s07";"24";40;34;2;3;"RA";"ra06"
"s07";"25";98;86;99;1;"SR";"s07_sr20"
"s07";"26";51;64;6;3;"GA";"ga14"
"s07";"27";52;56;47;2;"NR";"s08_sr11"
"s07";"28";53;38;2;3;"GA";"ga04"
"s07";"29";43;52;61;2;"SR";"s07_sr17"
"s07";"30";64;67;66;2;"RA";"ra12"
"s07";"31";50;40;2;3;"RA";"ra19"
"s07";"32";40;43;20;3;"GA";"ga02"
"s07";"33";10;15;1;3;"GA";"ga18"
"s07";"34";10;22;7;2;"NR";"s08_sr09"
"s07";"35";35;40;3;2;"NR";"s08_sr06"
"s07";"36";32;29;2;3;"GA";"ga08"
"s07";"37";15;15;4;3;"GA";"ga17"
"s07";"38";15;36;55;2;"SR";"s07_sr02"
"s07";"39";73;84;63;2;"SR";"s07_sr06"
"s07";"40";59;76;0;3;"NR";"s08_sr14"
"s07";"41";54;71;31;2;"NR";"s08_sr07"
"s07";"42";41;52;27;2;"SR";"s07_sr08"
"s07";"43";64;81;67;2;"RA";"ra14"
"s07";"44";70;80;60;2;"RA";"ra07"
"s07";"45";49;47;35;2;"GA";"ga09"
"s07";"46";46;15;2;3;"GA";"ga15"
"s07";"47";61;58;71;2;"RA";"ra15"
"s07";"48";32;40;29;2;"SR";"s07_sr12"
"s07";"49";47;44;7;3;"NR";"s08_sr13"
"s07";"50";9;14;1;2;"NR";"s08_sr16"
"s07";"51";42;57;1;3;"RA";"ra02"
"s07";"52";18;23;5;3;"RA";"ra20"
"s07";"53";29;30;11;2;"NR";"s08_sr15"
"s07";"54";36;48;87;2;"NR";"s08_sr12"
"s07";"55";51;44;0;3;"GA";"ga03"
"s07";"56";50;38;4;2;"NR";"s08_sr04"
"s07";"57";59;57;8;3;"RA";"ra17"
"s07";"58";44;44;67;2;"SR";"s07_sr19"
"s07";"59";36;23;0;3;"GA";"ga07"
"s07";"60";27;30;1;3;"RA";"ra11"
"s07";"61";72;73;55;2;"NR";"s08_sr02"
"s07";"62";64;71;55;2;"RA";"ra04"
"s07";"63";72;72;42;1;"NR";"s08_sr08"
"s07";"64";60;72;21;2;"NR";"s08_sr01"
"s07";"65";1;1;0;2;"GA";"ga13"
"s07";"66";12;13;3;3;"RA";"ra10"
"s07";"67";15;17;0;3;"GA";"ga05"
"s07";"68";27;43;46;2;"GA";"ga12"
"s07";"69";61;60;58;1;"SR";"s07_sr07"
"s07";"70";51;58;9;2;"GA";"ga11"
"s07";"71";6;6;0;2;"RA";"ra03"
"s07";"72";26;31;6;3;"RA";"ra08"
"s07";"73";44;54;59;2;"NR";"s08_sr10"
"s07";"74";28;11;92;2;"SR";"s07_sr10"
"s07";"75";63;76;82;1;"NR";"s08_sr19"
"s07";"76";89;91;62;2;"SR";"s07_sr09"
"s07";"77";81;77;55;1;"SR";"s07_sr04"
"s07";"78";49;64;62;3;"GA";"ga06"
"s07";"79";98;94;100;1;"SR";"s07_sr03"
"s07";"80";18;29;13;2;"SR";"s07_sr14"
"s08";"1";94;66;77;1;"SR";"s08_sr14"
"s08";"2";77;44;69;1;"SR";"s08_sr03"
"s08";"3";67;23;1;3;"GA";"ga06"
"s08";"4";10;22;81;1;"SR";"s08_sr04"
"s08";"5";73;83;95;1;"SR";"s08_sr09"
"s08";"6";38;13;0;3;"NR";"s07_sr19"
"s08";"7";5;1;1;3;"SR";"s08_sr10"
"s08";"8";51;1;1;3;"NR";"s07_sr10"
"s08";"9";16;19;58;3;"RA";"ra08"
"s08";"10";0;24;1;2;"RA";"ra03"
"s08";"11";6;23;0;3;"GA";"ga11"
"s08";"12";20;36;55;2;"SR";"s08_sr07"
"s08";"13";8;14;99;2;"GA";"ga12"
"s08";"14";72;90;59;2;"GA";"ga05"
"s08";"15";69;71;63;2;"RA";"ra10"
"s08";"16";46;22;1;3;"GA";"ga13"
"s08";"17";3;5;77;1;"NR";"s07_sr01"
"s08";"18";3;10;1;2;"NR";"s07_sr08"
"s08";"19";88;55;4;3;"RA";"ra04"
"s08";"20";7;34;2;2;"NR";"s07_sr02"
"s08";"21";11;19;1;3;"RA";"ra11"
"s08";"22";92;22;59;3;"GA";"ga07"
"s08";"23";68;55;29;1;"SR";"s08_sr19"
"s08";"24";65;50;58;3;"RA";"ra17"
"s08";"25";51;17;80;1;"NR";"s07_sr04"
"s08";"26";1;3;56;3;"GA";"ga03"
"s08";"27";18;4;0;3;"NR";"s07_sr12"
"s08";"28";94;92;85;2;"NR";"s07_sr15"
"s08";"29";90;54;56;3;"RA";"ra20"
"s08";"30";4;4;0;3;"RA";"ra02"
"s08";"31";6;1;0;3;"NR";"s07_sr16"
"s08";"32";19;26;0;2;"NR";"s07_sr13"
"s08";"33";12;27;41;2;"SR";"s08_sr12"
"s08";"34";60;40;4;3;"RA";"ra15"
"s08";"35";67;63;8;3;"GA";"ga15"
"s08";"36";81;63;15;3;"GA";"ga09"
"s08";"37";55;52;45;1;"RA";"ra07"
"s08";"38";27;7;0;3;"RA";"ra14"
"s08";"39";77;65;99;1;"SR";"s08_sr08"
"s08";"40";60;29;100;1;"NR";"s07_sr07"
"s08";"41";29;15;54;1;"NR";"s07_sr14"
"s08";"42";10;3;37;2;"SR";"s08_sr06"
"s08";"43";41;72;77;1;"SR";"s08_sr02"
"s08";"44";59;60;93;1;"GA";"ga17"
"s08";"45";54;40;1;3;"GA";"ga08"
"s08";"46";10;6;0;1;"NR";"s07_sr06"
"s08";"47";57;8;8;2;"NR";"s07_sr09"
"s08";"48";14;15;1;2;"GA";"ga18"
"s08";"49";49;14;8;2;"GA";"ga02"
"s08";"50";13;11;0;3;"RA";"ra19"
"s08";"51";68;64;74;3;"RA";"ra12"
"s08";"52";49;69;99;1;"SR";"s08_sr17"
"s08";"53";39;63;1;3;"GA";"ga04"
"s08";"54";64;13;8;2;"NR";"s07_sr11"
"s08";"55";68;57;86;2;"GA";"ga14"
"s08";"56";89;78;99;1;"SR";"s08_sr20"
"s08";"57";28;20;1;3;"RA";"ra06"
"s08";"58";22;20;17;3;"RA";"ra18"
"s08";"59";12;39;17;2;"NR";"s07_sr05"
"s08";"60";27;5;1;3;"GA";"ga01"
"s08";"61";9;4;2;3;"NR";"s07_sr17"
"s08";"62";7;34;27;3;"GA";"ga20"
"s08";"63";10;12;3;1;"SR";"s08_sr11"
"s08";"64";58;4;3;2;"SR";"s08_sr18"
"s08";"65";48;29;0;3;"RA";"ra13"
"s08";"66";68;51;1;3;"GA";"ga19"
"s08";"67";11;52;1;3;"RA";"ra05"
"s08";"68";98;99;100;1;"SR";"s08_sr01"
"s08";"69";97;99;99;1;"SR";"s08_sr15"
"s08";"70";68;63;100;1;"NR";"s07_sr20"
"s08";"71";96;94;100;1;"SR";"s08_sr16"
"s08";"72";12;47;2;2;"RA";"ra09"
"s08";"73";14;57;75;1;"SR";"s08_sr05"
"s08";"74";2;24;0;3;"GA";"ga10"
"s08";"75";37;15;0;3;"GA";"ga16"
"s08";"76";4;27;6;1;"RA";"ra16"
"s08";"77";32;10;92;2;"SR";"s08_sr13"
"s08";"78";74;79;53;1;"NR";"s07_sr18"
"s08";"79";67;80;28;3;"RA";"ra01"
"s08";"80";58;54;57;2;"NR";"s07_sr03"
"s10";"1";22;13;3;3;"RA";"ra11"
"s10";"2";58;54;79;2;"RA";"ra04"
"s10";"3";64;61;58;3;"SR";"s10_sr16"
"s10";"4";63;54;61;2;"GA";"ga10"
"s10";"5";31;25;56;2;"SR";"s10_sr14"
"s10";"6";52;51;57;2;"SR";"s10_sr15"
"s10";"7";59;57;61;3;"NR";"s09_sr14"
"s10";"8";81;62;65;2;"NR";"s09_sr12"
"s10";"9";78;90;89;1;"SR";"s10_sr06"
"s10";"10";24;13;36;3;"GA";"ga12"
"s10";"11";81;61;16;3;"RA";"ra18"
"s10";"12";63;19;12;3;"RA";"ra06"
"s10";"13";49;28;7;3;"NR";"s09_sr10"
"s10";"14";52;36;80;2;"RA";"ra16"
"s10";"15";64;65;80;2;"NR";"s09_sr01"
"s10";"16";57;43;64;2;"NR";"s09_sr19"
"s10";"17";36;46;35;3;"GA";"ga08"
"s10";"18";64;59;78;2;"RA";"ra07"
"s10";"19";45;22;3;3;"RA";"ra03"
"s10";"20";75;84;92;1;"SR";"s10_sr05"
"s10";"21";36;19;5;3;"RA";"ra09"
"s10";"22";59;47;7;3;"RA";"ra19"
"s10";"23";66;41;60;2;"GA";"ga02"
"s10";"24";37;45;49;3;"GA";"ga17"
"s10";"25";78;62;83;2;"NR";"s09_sr16"
"s10";"26";52;20;6;3;"GA";"ga20"
"s10";"27";69;57;81;2;"NR";"s09_sr18"
"s10";"28";63;55;74;2;"SR";"s10_sr12"
"s10";"29";24;33;30;3;"GA";"ga06"
"s10";"30";59;51;32;3;"GA";"ga16"
"s10";"31";57;53;77;2;"SR";"s10_sr07"
"s10";"32";69;60;73;2;"SR";"s10_sr20"
"s10";"33";56;58;59;2;"GA";"ga18"
"s10";"34";63;49;5;3;"RA";"ra13"
"s10";"35";25;9;23;3;"NR";"s09_sr13"
"s10";"36";77;70;76;2;"NR";"s09_sr08"
"s10";"37";9;4;27;3;"RA";"ra15"
"s10";"38";22;6;4;3;"RA";"ra14"
"s10";"39";22;10;13;3;"NR";"s09_sr11"
"s10";"40";54;48;62;3;"GA";"ga03"
"s10";"41";59;54;80;2;"RA";"ra10"
"s10";"42";78;93;93;1;"SR";"s10_sr03"
