country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,13,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,14,universal,choose what to do,like when you decide between different things,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,15,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,16,universal,feel pain,like when something hurts you,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,17,universal,remember things,like when you remember something that happened before,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,18,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,19,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,20,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,21,universal,hear things,like when you hear a noise,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,22,universal,feel scared,like when you feel afraid,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,23,universal,feel proud,like when you feel really good about something you did,yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,24,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,25,universal add-on,have minds,[NONE],yes,yes,1
Vanuatu,vt_adults_004_chickens,female,24,LT,Malekula,universal,chickens,chickens,2,26,universal add-on,have souls,[NONE],yes,yes,1
Vanuatu,vt_adults_005_children,male,61,LT,Malekula,universal,children,children,2,1,universal,feel happy,like when you feel good,yes,yes,1
Vanuatu,vt_adults_005_children,male,61,LT,Malekula,universal,children,children,2,2,universal,get hungry,like when you feel like you need to eat something,yes,yes,1
Vanuatu,vt_adults_005_children,male,61,LT,Malekula,universal,children,children,2,3,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_adults_005_children,male,61,LT,Malekula,universal,children,children,2,4,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1
Vanuatu,vt_adults_005_children,male,61,LT,Malekula,universal,children,children,2,5,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1
