country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
US,us_adults_006_mice,female,38,MR,los gatos dmv,universal,mice,mice,3,24,universal add-on,have souls,[NONE],yes,yes,1,NA
US,us_adults_006_mice,female,38,MR,los gatos dmv,universal,mice,mice,3,25,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1,NA
US,us_adults_006_mice,female,38,MR,los gatos dmv,universal,mice,mice,3,26,universal add-on,have minds,[NONE],yes,yes,1,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,1,universal,remember things,like when you remember something that happened before,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,2,universal,hear things,like when you hear a noise,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,3,universal,think about things,like when you have a thought or an idea about something,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,4,universal,choose what to do,like when you decide between different things,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,5,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,6,universal,feel scared,like when you feel afraid,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,7,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,8,universal,pray,like when you pray,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,9,universal,feel proud,like when you feel really good about something you did,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,10,universal,feel tired,like when you feel sleepy,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,11,universal,feel sad,like when you feel bad or unhappy,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,12,universal,sense temperatures,like when you can tell if something is warm or cool,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,13,universal,feel pain,like when something hurts you,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,14,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,15,universal,get angry,like when you feel mad,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,16,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,17,universal,feel happy,like when you feel good,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,18,universal,sense when things are far away,like when you see that something is far away from you,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,19,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,20,universal,get hungry,like when you feel like you need to eat something,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,21,universal,feel love,like when you really like somebody and care about them a lot,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,22,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
US,us_adults_007_rocks,female,19,MR,los gatos dmv,universal,rocks,rocks,4,23,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0,NA
