country,subj_id,gender,age,experimenter,location,character_cat,character_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
US,us_children_007_ghosts,male,7,NAP,tech,universal,ghosts,ghosts,1,19,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
US,us_children_007_ghosts,male,7,NAP,tech,universal,ghosts,ghosts,1,20,universal,choose what to do,like when you decide between different things,no,no,0,NA
US,us_children_007_ghosts,male,7,NAP,tech,universal,ghosts,ghosts,1,21,universal,think about things,like when you have a thought or an idea about something,no,no,0,NA
US,us_children_007_ghosts,male,7,NAP,tech,universal,ghosts,ghosts,1,22,universal,hear things,like when you hear a noise,yes,yes,1,first said no
US,us_children_007_ghosts,male,7,NAP,tech,universal,ghosts,ghosts,1,23,universal,remember things,like when you remember something that happened before,no,no,0,NA
US,us_children_007_ghosts,male,7,NAP,tech,universal,ghosts,ghosts,1,24,universal add-on,bleed if they touch something sharp,[NONE],no,no,0,NA
US,us_children_007_ghosts,male,7,NAP,tech,universal,ghosts,ghosts,1,25,universal add-on,have souls,[NONE],no,no,0,NA
US,us_children_007_ghosts,male,7,NAP,tech,universal,ghosts,ghosts,1,26,universal add-on,have minds,[NONE],no,no,0,NA
US,us_children_008_god,female,8,NAP,tech,universal,god,god,2,1,universal,feel happy,like when you feel good,yes,yes,1,NA
US,us_children_008_god,female,8,NAP,tech,universal,god,god,2,2,universal,get hungry,like when you feel like you need to eat something,no,no,0,NA
US,us_children_008_god,female,8,NAP,tech,universal,god,god,2,3,universal,feel tired,like when you feel sleepy,no,no,0,NA
US,us_children_008_god,female,8,NAP,tech,universal,god,god,2,4,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
US,us_children_008_god,female,8,NAP,tech,universal,god,god,2,5,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,NA
US,us_children_008_god,female,8,NAP,tech,universal,god,god,2,6,universal,pray,like when you pray,yes,yes,1,NA
US,us_children_008_god,female,8,NAP,tech,universal,god,god,2,7,universal,get angry,like when you feel mad,no,no,0,NA
