"Date","Subject","Age","Sex","Hand","Block","Bin","Trial","Task","Shape","corrResp","Resp","ACC","RT","Morality","Identity"
"02-May-2018_14:39:59",7302,22,"female","R",1,5,13,"Id","immoralOther","J","j",1,0.4715,"Bad","Other"
"02-May-2018_14:40:00",7302,22,"female","R",1,5,14,"Id","moralSelf","H","h",1,0.4517,"Good","Self"
"02-May-2018_14:40:02",7302,22,"female","R",1,5,15,"Id","moralOther","J","j",1,0.4656,"Good","Other"
"02-May-2018_14:40:04",7302,22,"female","R",1,5,16,"Id","immoralSelf","H","h",1,0.4178,"Bad","Self"
"02-May-2018_14:40:05",7302,22,"female","R",1,5,17,"Id","immoralOther","J","j",1,0.4519,"Bad","Other"
"02-May-2018_14:40:07",7302,22,"female","R",1,5,18,"Id","immoralSelf","H","h",1,0.4261,"Bad","Self"
"02-May-2018_14:40:09",7302,22,"female","R",1,5,19,"Id","moralOther","J","j",1,0.4941,"Good","Other"
"02-May-2018_14:40:10",7302,22,"female","R",1,5,20,"Id","immoralSelf","H","h",1,0.4662,"Bad","Self"
"02-May-2018_14:40:12",7302,22,"female","R",1,5,21,"Id","immoralSelf","H","h",1,0.4422,"Bad","Self"
"02-May-2018_14:40:14",7302,22,"female","R",1,5,22,"Id","moralSelf","H","h",1,0.5004,"Good","Self"
"02-May-2018_14:40:15",7302,22,"female","R",1,5,23,"Id","immoralOther","J","j",1,0.3666,"Bad","Other"
"02-May-2018_14:40:17",7302,22,"female","R",1,5,24,"Id","moralOther","J","j",1,0.5646,"Good","Other"
"02-May-2018_14:42:41",7302,22,"female","R",2,1,1,"Val","immoralOther","Y",NA,-1,1.042,"Bad","Other"
"02-May-2018_14:42:44",7302,22,"female","R",2,1,2,"Val","immoralOther","Y","y",1,0.9028,"Bad","Other"
"02-May-2018_14:42:46",7302,22,"female","R",2,1,3,"Val","moralSelf","U",NA,-1,1.042,"Good","Self"
"02-May-2018_14:42:47",7302,22,"female","R",2,1,4,"Val","immoralSelf","Y","y",1,0.6451,"Bad","Self"
"02-May-2018_14:42:49",7302,22,"female","R",2,1,5,"Val","moralOther","U","u",1,0.7132,"Good","Other"
"02-May-2018_14:42:51",7302,22,"female","R",2,1,6,"Val","moralSelf","U","u",1,0.7113,"Good","Self"
"02-May-2018_14:42:53",7302,22,"female","R",2,1,7,"Val","immoralSelf","Y","y",1,0.5834,"Bad","Self"
"02-May-2018_14:42:55",7302,22,"female","R",2,1,8,"Val","moralOther","U","u",1,0.9535,"Good","Other"
"02-May-2018_14:42:56",7302,22,"female","R",2,1,9,"Val","moralSelf","U","u",1,0.5477,"Good","Self"
"02-May-2018_14:42:58",7302,22,"female","R",2,1,10,"Val","immoralOther","Y","y",1,0.5997,"Bad","Other"
"02-May-2018_14:43:00",7302,22,"female","R",2,1,11,"Val","moralOther","U","u",1,0.5599,"Good","Other"
"02-May-2018_14:43:01",7302,22,"female","R",2,1,12,"Val","immoralOther","Y","y",1,0.6099,"Bad","Other"
"02-May-2018_14:43:03",7302,22,"female","R",2,1,13,"Val","moralOther","U","u",1,0.582,"Good","Other"
"02-May-2018_14:43:05",7302,22,"female","R",2,1,14,"Val","immoralOther","Y","y",1,0.6081,"Bad","Other"
"02-May-2018_14:43:07",7302,22,"female","R",2,1,15,"Val","moralSelf","U","u",1,0.7001,"Good","Self"
"02-May-2018_14:43:09",7302,22,"female","R",2,1,16,"Val","immoralOther","Y","y",1,0.5102,"Bad","Other"
"02-May-2018_14:43:10",7302,22,"female","R",2,1,17,"Val","moralOther","U","u",1,0.4804,"Good","Other"
"02-May-2018_14:43:12",7302,22,"female","R",2,1,18,"Val","immoralSelf","Y","y",1,0.4126,"Bad","Self"
"02-May-2018_14:43:14",7302,22,"female","R",2,1,19,"Val","moralOther","U","u",1,0.6327,"Good","Other"
"02-May-2018_14:43:16",7302,22,"female","R",2,1,20,"Val","immoralSelf","Y","y",1,0.6707,"Bad","Self"
"02-May-2018_14:43:17",7302,22,"female","R",2,1,21,"Val","immoralSelf","Y","y",1,0.4908,"Bad","Self"
"02-May-2018_14:43:19",7302,22,"female","R",2,1,22,"Val","moralSelf","U","u",1,0.6928,"Good","Self"
"02-May-2018_14:43:20",7302,22,"female","R",2,1,23,"Val","moralSelf","U","u",1,0.393,"Good","Self"
"02-May-2018_14:43:22",7302,22,"female","R",2,1,24,"Val","immoralSelf","Y","y",1,0.7211,"Bad","Self"
"02-May-2018_14:43:24",7302,22,"female","R",2,2,1,"Val","moralSelf","U","u",1,0.7611,"Good","Self"
"02-May-2018_14:43:26",7302,22,"female","R",2,2,2,"Val","moralOther","U","u",1,0.6772,"Good","Other"
"02-May-2018_14:43:28",7302,22,"female","R",2,2,3,"Val","moralOther","U","u",1,0.9413,"Good","Other"
"02-May-2018_14:43:30",7302,22,"female","R",2,2,4,"Val","immoralOther","Y","y",1,0.5655,"Bad","Other"
"02-May-2018_14:43:32",7302,22,"female","R",2,2,5,"Val","immoralOther","Y","y",1,0.6256,"Bad","Other"
"02-May-2018_14:43:34",7302,22,"female","R",2,2,6,"Val","immoralSelf","Y","y",1,0.4318,"Bad","Self"
