"Subj","Trial","Aes","Aes2","SelfR","Fam","Condition","Image","Question"
"s15",30,0.37,48,0.04,"0","SR","s15_sr08",4
"s15",22,0.02,4,1,"1","SR","s15_sr09",5
"s15",32,0.02,5,0.73,"0","SR","s15_sr10",6
"s15",23,0.26,19,0.07,"0","SR","s15_sr11",7
"s15",28,0.04,9,1,"0","SR","s15_sr12",9
"s15",4,0.13,25,0.88,"0","SR","s15_sr13",10
"s15",77,0.78,71,0.7,"0","SR","s15_sr14",12
"s15",41,0.45,54,0.75,"0","SR","s15_sr15",15
"s15",63,0.64,44,0.47,"0.5","SR","s15_sr16",16
"s15",80,0.22,25,0.72,"1","SR","s15_sr17",16
"s15",59,0.01,8,0.78,"0","SR","s15_sr18",18
"s15",60,0.09,10,0.79,"0","SR","s15_sr19",18
"s15",49,0.5,57,0.91,"0","SR","s15_sr20",19
"s16",12,0.66,77,0.71,"1","SR","s16_sr01",1
"s16",5,0.01,3,0.38,"0","SR","s16_sr02",2
"s16",80,0.2,20,0.25,"0","SR","s16_sr03",3
"s16",11,0.71,77,0.39,"0.5","SR","s16_sr04",3
"s16",34,0.05,11,0.05,"0","SR","s16_sr05",4
"s16",69,0.23,44,0.78,"0.5","SR","s16_sr06",4
"s16",28,0.73,72,0.82,"1","SR","s16_sr07",5
"s16",51,0.67,4,0.86,"1","SR","s16_sr08",6
"s16",59,0.2,17,0.52,"0","SR","s16_sr09",7
"s16",49,0.23,44,0.31,"0","SR","s16_sr10",7
"s16",58,0.14,6,0.56,"0","SR","s16_sr11",4
"s16",53,0.72,79,0.89,"0","SR","s16_sr12",8
"s16",77,0.23,48,0.8,"0","SR","s16_sr13",9
"s16",4,0.48,6,0.01,"0","SR","s16_sr14",9
"s16",40,0.26,70,0.88,"0","SR","s16_sr15",11
"s16",18,0.01,2,0.76,"0","SR","s16_sr16",11
"s16",1,0.61,23,0.18,"0.5","SR","s16_sr17",16
"s16",22,0.17,15,0.22,"0","SR","s16_sr18",18
"s16",21,0.01,1,0,"0","SR","s16_sr19",18
"s16",32,0.54,61,0.76,"0","SR","s16_sr20",11
"s17",25,0.97,67,0.58,"1","SR","s17_sr01",1
"s17",38,0.73,98,0.85,"0.5","SR","s17_sr02",2
"s17",1,0.75,70,0.66,"0","SR","s17_sr03",3
"s17",41,0.04,29,0.11,"1","SR","s17_sr04",3
"s17",35,0.22,32,0.22,"0.5","SR","s17_sr05",3
"s17",23,0.41,29,0.22,"0","SR","s17_sr06",3
"s17",30,0.37,75,0.13,"0","SR","s17_sr07",4
"s17",75,0.25,98,0.08,"0","SR","s17_sr08",4
"s17",55,0.82,13,0.51,"1","SR","s17_sr09",5
"s17",40,0.98,89,0.68,"1","SR","s17_sr10",6
"s17",80,0.85,94,0.63,"0","SR","s17_sr11",7
"s17",5,0.99,99,0.98,"0","SR","s17_sr12",11
"s17",67,0.4,85,0.59,"0.5","SR","s17_sr13",11
"s17",56,0.92,8,0.42,"0.5","SR","s17_sr14",10
"s17",43,0.38,20,0.67,"1","SR","s17_sr15",18
"s17",28,0.4,85,0.97,"1","SR","s17_sr16",18
"s17",50,0.81,78,0.86,"0.5","SR","s17_sr17",18
"s17",34,0.61,82,0.14,"0","SR","s17_sr18",4
"s17",22,0.64,19,0.15,"0","SR","s17_sr19",4
"s17",32,0.36,32,0.1,"0","SR","s17_sr20",9
"s18",56,0.68,83,0.98,"1","SR","s18_sr01",1
"s18",43,0.83,79,0.81,"1","SR","s18_sr02",2
"s18",80,0.58,73,0.53,"0.5","SR","s18_sr03",3
"s18",40,0.74,81,0.79,"0.5","SR","s18_sr04",3
"s18",46,0.63,67,0.49,"0","SR","s18_sr05",3
"s18",58,0.61,43,0.24,"0","SR","s18_sr06",3
"s18",51,0.66,49,0.3,"0.5","SR","s18_sr07",3
"s18",6,0.15,20,0.16,"0.5","SR","s18_sr08",3
"s18",26,0.18,57,0.15,"0","SR","s18_sr09",4
"s18",41,0.65,72,0.75,"1","SR","s18_sr10",5
"s18",1,0.71,69,0.5,"0","SR","s18_sr11",6
"s18",76,0.53,28,0.51,"0.5","SR","s18_sr12",7
"s18",14,0.15,0,0.06,"0","SR","s18_sr13",7
"s18",25,0.63,37,0.49,"0.5","SR","s18_sr14",9
"s18",38,0.1,18,0.02,"0","SR","s18_sr15",11
"s18",53,0.46,1,0.49,"0","SR","s18_sr16",12
"s18",31,0.73,62,0.85,"0","SR","s18_sr17",15
"s18",47,0.72,71,0.64,"0.5","SR","s18_sr18",16
"s18",59,0.51,72,0.16,"0","SR","s18_sr19",16
"s18",49,0.75,50,0.79,"0","SR","s18_sr20",19
"s19",46,0.61,65,0.94,"1","SR","s19_sr01",1
"s19",24,0.53,39,0.93,"1","SR","s19_sr02",2
"s19",62,0.42,43,0.93,"1","SR","s19_sr03",2
"s19",12,0.59,61,0.83,"0.5","SR","s19_sr04",3
"s19",13,0.67,79,0.96,"1","SR","s19_sr05",3
"s19",41,0.59,54,0.75,"1","SR","s19_sr06",3
"s19",28,0.82,79,0.84,"1","SR","s19_sr07",3
"s19",43,0.65,67,0.87,"1","SR","s19_sr08",3
"s19",70,0.53,75,0.26,"0.5","SR","s19_sr09",4
"s19",36,0.71,51,0.62,"1","SR","s19_sr10",4
"s19",66,0.41,58,0.78,"1","SR","s19_sr11",6
"s19",27,0.58,66,0.78,"1","SR","s19_sr12",7
"s19",63,0.74,67,0.91,"0.5","SR","s19_sr13",11
"s19",74,0.55,75,0.93,"1","SR","s19_sr14",11
"s19",71,0.54,58,0.95,"1","SR","s19_sr15",11
"s19",2,0.39,17,0.8,"1","SR","s19_sr16",12
"s19",32,0.58,40,0.85,"1","SR","s19_sr17",15
"s19",35,0.71,70,0.85,"1","SR","s19_sr18",19
"s19",57,0.67,76,0.38,"1","SR","s19_sr19",19
"s19",39,0.38,40,0.9,"1","SR","s19_sr20",18
"s21",11,0.65,93,0.99,"0","SR","s21_sr01",1
"s21",12,0.76,78,0.99,"0","SR","s21_sr02",2
"s21",16,0.77,92,0.78,"0","SR","s21_sr03",3
"s21",21,0.36,52,0.76,"0","SR","s21_sr04",3
"s21",54,0.14,34,0.04,"0","SR","s21_sr05",3
"s21",53,0.43,38,0.01,"0","SR","s21_sr06",4
"s21",37,0.57,27,0.15,"0","SR","s21_sr07",5
"s21",40,0.67,89,0.94,"0","SR","s21_sr08",6
"s21",71,0.61,52,0.18,"0","SR","s21_sr09",7
"s21",67,0.82,95,0.93,"0","SR","s21_sr10",7
"s21",56,0.36,33,0.86,"0","SR","s21_sr11",9
"s21",20,0.27,5,0.01,"0","SR","s21_sr12",9
"s21",27,0.5,56,0.41,"0","SR","s21_sr13",9
"s21",5,0.63,78,0.98,"0","SR","s21_sr14",11
"s21",78,0.87,70,0.93,"0","SR","s21_sr15",15
"s21",68,0.63,88,0.94,"0","SR","s21_sr16",16
"s21",59,0.64,73,0.96,"0","SR","s21_sr17",19
"s21",45,0.72,75,0.91,"0","SR","s21_sr18",18
"s21",15,0.78,89,0.94,"0","SR","s21_sr19",18
"s21",63,0.69,69,0.82,"0","SR","s21_sr20",15
"s22",70,0.52,69,0.9,"0.5","SR","s22_sr01",1
"s22",69,0.41,47,0.87,"0.5","SR","s22_sr02",2
