"Temperature_t1","Temperature_t2","socialdiversity","Site","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","langfamily"
36,36.7,7,"Portugal",38.71670532,1,1,1,2,1,1,1,1,5,1,2,3,1,3,2,2,1
36.4,36.3,11,"Poland",52.25,2,2,1,2,2,1,2,1,1,2,2,3,2,2,2,1,1
36.33333333,36.5,7,"VCU",37.73379517,2,3,1,2,2,2,3,2,1,1,1,3,3,1,2,2,1
36.8,36.1,8,"METU",39.92300415,2,2,3,3,2,3,3,4,3,3,2,2,2,3,3,2,2
36.5,36.5,8,"Poland",52.25,2,2,1,2,1,2,3,2,2,1,2,3,2,1,3,1,1
36.5,36.6,6,"Zurich",47.56030273,2,2,1,2,3,2,4,2,2,2,4,2,2,2,3,1,1
36.3,36.9,11,"Poland",54.36079407,1,1,1,1,2,2,1,2,2,2,2,3,2,3,3,4,1
37,36.7,8,"Zurich",47,3,3,4,3,3,4,3,3,3,3,4,3,3,2,3,2,1
34.6,36,7,"Kassel",50.07940674,4,2,2,2,3,3,3,3,2,3,3,2,2,2,2,1,1
35.7,35.7,8,"Portugal",38.71670532,2,5,2,3,2,5,5,2,5,1,5,3,3,1,3,1,1
35.6,35.8,8,"Oxford",51.75,1,2,1,2,2,1,1,3,2,1,1,2,2,2,4,1,1
35.6,36.2,8,"METU",39.91169739,3,4,1,2,2,2,4,4,3,2,1,2,1,4,5,3,2
35.9,36.3,8,"Kassel",51.31669617,2,1,1,2,2,2,1,2,3,1,2,2,2,2,3,2,1
36.05555556,36.27777778,6,"VCU",37.55380249,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,1
36.2,36.3,8,"Serbia",44.81860352,1,2,1,2,4,1,2,2,1,2,2,2,2,1,3,2,1
36.6,36.9,10,"Poland",52.25,2,2,5,1,2,2,2,2,2,2,2,4,2,1,2,1,1
36.7,37,11,"Poland",54.36079407,2,1,3,1,2,2,2,3,2,2,1,2,2,3,3,4,1
34.1,36.2,8,"Oslo",59.91670227,2,2,1,3,2,2,2,2,1,3,2,2,1,3,4,3,1
35.9,36.2,10,"Poland",52.25,3,1,1,2,2,3,2,1,2,1,2,4,2,2,3,2,1
35.5,36.7,6,"Oxford",51.75,3,3,3,4,2,4,4,3,1,3,1,1,1,1,1,2,1
36,36.4,8,"METU",39.91149902,3,2,5,3,2,2,3,2,1,3,3,2,1,2,2,2,2
36.3,36.2,6,"METU",38.77349854,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2
36.4,36.4,9,"Kassel",50.98330688,2,3,2,4,2,2,2,2,3,2,2,2,3,2,3,1,1
36.4,36.5,7,"Portugal",38.71670532,1,1,1,2,1,1,1,1,5,1,1,2,5,3,3,1,1
36.41,36.57,10,"Poland",52.32780457,2,2,1,2,1,1,2,2,2,1,2,2,1,1,1,2,1
36.7,36.7,6,"Serbia",44.81860352,2,2,1,2,2,1,4,1,2,2,2,2,1,2,2,1,1
36.7,36.7,7,"Poland",52.25,3,2,2,2,2,2,3,2,2,2,2,3,1,1,2,2,1
36.9,36.6,5,"Zurich",47.35159302,3,3,1,3,2,3,3,2,2,2,1,2,3,2,2,2,1
36.6,36.9,10,"Poland",52.25,2,3,2,3,2,2,3,2,2,2,2,3,2,2,3,2,1
37.1,37.1,9,"Poland",51.75,1,2,4,1,1,2,2,1,1,2,2,2,1,1,1,1,1
37.3,37.3,9,"Poland",51.1000061,3,2,2,3,2,4,4,2,3,2,2,3,3,2,2,2,1
34.7,36,7,"Oxford",51.75,1,1,1,2,1,1,1,1,2,1,1,3,2,2,3,5,1
36.5,35.8,7,"Poland",52.25,2,1,5,1,3,3,1,1,1,1,2,4,3,1,1,1,1
36.4,36.1,8,"Serbia",44,2,2,3,2,2,2,3,2,3,2,2,1,1,1,1,2,1
36.4,36.3,9,"Poland",50.31539917,2,1,1,2,2,1,3,2,1,2,1,4,2,1,3,2,1
36.6,36.3,8,"Chile",33.42628098,4,2,1,4,1,1,3,4,5,1,1,1,3,2,3,2,1
36.3,36.7,8,"Oxford",51.75,2,5,4,2,3,4,4,3,2,3,2,3,1,1,2,1,1
35.4,37.7,11,"Poland",60.21670532,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,1
36.5,36.6,9,"Oslo",59.91270447,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1
36.4,36.9,6,"Zurich",47.02589417,2,2,1,2,2,3,2,2,3,2,3,3,2,1,3,2,1
36.5,36.8,7,"Chile",33.44999695,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1
36.8,36.7,9,"Kassel",51.49180603,2,4,1,3,4,2,2,3,2,2,2,2,3,2,3,2,1
36.9,37.2,8,"Poland",52.08329773,1,1,1,2,3,1,2,2,1,1,2,2,2,2,3,2,1
37.1,37.1,9,"Poland",52.25,3,3,3,2,3,3,4,2,2,2,3,3,2,3,2,2,1
35.4,36.6,8,"Oxford",51.75,4,4,4,3,4,3,4,3,2,2,3,1,2,1,2,2,1
36.27777778,35.94444444,7,"UCSB",34.4329071,1,2,1,2,1,1,1,1,2,1,1,2,2,2,3,1,1
36.43,36.05,5,"Zurich",47.36669922,3,4,3,3,3,3,4,4,3,3,3,2,3,3,2,3,1
36.4,36.2,8,"Chile",33.44999695,1,2,4,4,1,1,3,3,1,2,2,4,3,3,2,3,1
36.5,36.4,10,"Poland",53.33309937,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
36.5,36.6,10,"Poland",50.63330078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36.4,36.7,6,"Oxford",51.75,3,3,1,3,1,3,2,2,4,3,1,2,1,3,3,3,1
36.6,36.7,9,"Poland",52.59309387,2,2,3,2,2,2,3,2,1,2,2,3,2,2,2,2,1
36.9,36.7,7,"Zurich",NA,2,4,1,3,1,2,2,2,2,2,2,4,2,2,2,2,1
37.4,38.1,10,"Poland",52.25,1,1,1,1,1,3,2,2,1,1,1,2,1,1,2,1,1
35.3,35.5,5,"Kassel",51.24960327,2,1,1,2,2,4,5,1,2,2,1,2,2,3,4,3,1
35,36.4,8,"METU",39.91169739,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,2,2
36,36,5,"METU",39.92300415,3,2,3,2,3,4,4,2,1,4,3,3,2,2,3,1,2
36.31,36.12,8,"Poland",52.59309387,3,3,3,2,3,3,2,4,3,3,2,2,4,2,4,2,1
36.4,36.5,9,"Poland",54.3500061,3,3,1,3,1,1,4,1,2,2,2,2,2,1,2,2,1
37,36.2,10,"Poland",52.41670227,1,2,1,1,4,2,2,1,1,1,1,2,2,1,3,3,1
36.5,36.7,7,"Zurich",47.36669922,2,2,2,2,2,2,3,2,2,2,2,4,2,2,3,2,1
36.5,36.9,8,"Kassel",52.51669312,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1
36.8,36.8,7,"Chile",33.44999695,1,5,1,1,1,1,2,1,1,1,2,4,1,2,3,2,1
36.9,37.3,9,"Poland",53.6000061,2,1,3,2,2,4,4,2,2,2,3,2,1,1,3,2,1
35.9,35.9,8,"Oslo",NA,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1
36,35.9,6,"Oslo",60.39149475,3,2,3,2,3,3,3,2,2,2,3,2,2,2,2,2,1
36,36,7,"Kassel",51.03329468,2,4,1,5,1,1,2,4,3,2,1,2,1,3,5,5,1
36,36.2,8,"Kassel",51.24960327,2,2,2,2,2,2,4,4,2,4,4,3,2,2,4,3,1
36,36.3,8,"Chile",33.44999695,1,5,1,5,1,1,1,5,5,1,3,1,1,5,5,5,1
36.3,36.2,8,"Chile",33.44999695,1,2,3,1,2,2,3,2,1,1,2,3,3,1,3,2,1
36.3,36.3,9,"Poland",51.75,2,2,1,2,1,2,4,1,3,1,1,3,2,1,3,1,1
36.5,36.4,6,"METU",39.91169739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
36.6,36.3,6,"METU",39.91169739,2,2,1,2,2,3,2,2,2,2,2,2,1,2,2,1,2
36.3,36.7,5,"Oxford",51.75,2,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1
36.4,36.6,9,"Poland",53.12710571,3,2,2,2,2,4,4,2,3,2,2,2,2,4,3,2,1
36.2,36.9,7,"Oxford",51.75,3,4,2,4,4,3,4,4,4,4,3,2,2,2,4,3,1
36.7,36.4,10,"METU",39.91169739,2,2,3,2,2,3,2,2,2,3,2,1,2,2,2,3,2
36.6,36.6,8,"METU",NA,2,2,1,2,2,1,3,2,2,2,2,2,3,2,2,2,2
36.8,36.7,5,"Chile",33.44999695,2,2,2,3,2,2,1,2,3,2,2,1,2,2,3,2,1
37,37.2,9,"Poland",52.25,2,2,2,2,2,4,4,2,3,2,2,4,2,1,2,1,1
37,38,6,"Zurich",NA,5,5,5,1,5,5,5,5,5,5,5,1,5,1,5,1,1
35.2,36.1,5,"Oxford",51.75,2,3,2,3,1,2,2,3,4,2,1,4,1,3,3,5,1
35.3,36.2,6,"Oxford",51.75,2,3,1,4,1,1,2,2,2,2,2,1,4,2,4,2,1
36.08,36.03,11,"Bamberg",49.44030762,4,3,1,4,3,4,4,2,2,4,4,2,2,2,3,2,1
36.3,35.9,6,"METU",39.91169739,1,1,1,1,1,2,2,1,2,1,1,1,1,3,3,2,2
36.2,36.1,9,"Poland",52.23330688,2,2,2,2,2,2,1,2,2,2,2,1,2,1,3,1,1
36.2,36.3,9,"Oslo",59.26750183,5,2,1,2,2,1,1,3,2,1,1,3,4,2,3,1,1
36,36.5,7,"VCU",37.55220032,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,1,1
36.1,36.4,6,"Kassel",51.31669617,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1
36.33333333,36.44444444,8,"VCU",39.18569946,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1
36.5,36.3,8,"Poland",52.23330688,3,2,2,2,3,2,1,2,3,1,2,2,2,1,4,2,1
36.61,36.28,9,"Poland",52.25,3,2,4,2,2,3,2,2,1,2,1,3,2,1,2,2,1
36.4,36.5,7,"Poland",54.5,2,4,1,2,1,2,2,2,2,1,2,1,1,4,5,3,1
36.5,36.6,7,"METU",39.92300415,2,3,1,3,3,3,2,1,5,3,4,1,1,4,5,2,2
36.6,36.6,7,"Chile",33.44999695,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,3,1
36.9,36.4,8,"METU",39.91169739,2,2,1,2,3,1,3,2,2,1,2,1,1,2,2,1,2
36.7,36.6,8,"Kassel",51.28779602,2,2,1,2,4,4,2,2,1,2,4,3,2,2,4,2,1
36.88,36.89,9,"Oslo",NA,5,4,3,5,5,3,5,4,1,3,5,1,1,3,1,1,1
36.7,37.2,7,"METU",39.91169739,2,2,1,2,2,2,4,4,1,2,2,2,2,2,2,2,2
35.3,35.5,7,"Kassel",53.55000305,5,5,3,4,2,5,5,5,5,3,2,2,1,1,4,1,1
35.77777778,35.72222222,4,"VCU",37.40229797,1,2,5,2,1,2,1,2,3,1,1,3,1,1,3,1,1
35.7,35.9,5,"Oxford",51.75,2,3,1,2,2,1,2,2,2,1,2,2,3,1,3,1,1
37.1,35.9,7,"Oxford",51.75,2,2,1,2,2,1,2,2,2,3,2,2,3,2,3,2,1
36.61111111,36.55555556,4,"VCU",37.55329895,3,3,2,4,4,3,4,4,4,4,2,2,1,3,2,2,1
36.7,36.7,9,"Serbia",44.81860352,2,3,1,2,2,1,3,2,3,1,2,2,4,2,1,2,1
36.9,36.58,9,"Poland",51.93930054,4,5,2,2,4,4,5,4,3,4,4,3,4,1,3,2,1
36.8,36.8,5,"Serbia",44.87080383,3,3,1,3,2,2,4,2,2,2,2,2,3,1,2,1,1
36.94444444,36.83333333,9,"VCU",37.55220032,3,4,2,3,4,4,4,4,3,4,4,3,2,2,2,2,1
37,37,3,"Zurich",47.53179932,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
37.2,37.08,5,"Kassel",50.17080688,4,2,1,2,1,2,2,1,1,2,2,1,1,3,5,2,1
36,35,6,"Oxford",51.75,2,1,1,1,2,3,2,1,3,3,3,1,1,2,3,2,1
35.1,36.1,6,"Kassel",51.31669617,2,2,1,2,3,3,2,3,2,2,2,2,2,3,3,2,1
35.5,35.8,5,"Zurich",47.3605957,4,3,2,2,3,4,2,3,4,3,3,3,4,2,2,3,1
35.4,36.4,6,"Kassel",NA,1,2,1,2,1,1,1,1,2,1,1,2,2,2,3,3,1
35.5,36.4,8,"Oxford",51.75,1,1,1,1,1,2,3,2,2,1,1,2,2,2,1,3,1
36,36,10,"Poland",53.41670227,2,3,2,3,2,3,3,3,2,2,2,4,2,2,3,2,1
35.6,36.4,7,"Serbia",44.81860352,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
35.5,36.6,8,"Kassel",51.31669617,2,1,1,2,1,2,2,1,1,2,3,2,1,1,1,1,1
36.1,36,7,"Chile",33.44999695,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1
36.2,36.1,4,"Zurich",NA,2,2,1,2,1,2,2,2,2,3,4,2,1,2,3,1,1
35.5,36.9,7,"Oxford",51.75,2,4,2,4,2,2,4,2,2,3,2,2,2,3,3,2,1
36,36.4,6,"Kassel",51.31669617,2,2,2,3,2,2,2,3,3,2,2,2,3,3,4,3,1
36.7,36,8,"Oslo",NA,2,4,2,3,2,2,2,3,4,3,2,2,2,4,3,3,1
36.5,36.4,7,"Chile",33.44999695,2,2,2,2,2,2,3,2,3,2,2,3,2,1,4,2,1
36.4,36.6,8,"SMU",1.293106079,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,1
