Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
02-May-2018_14:43:26 7302 22 female R 2 2 2 moral moralOther U u 1 0.6772 
02-May-2018_14:43:28 7302 22 female R 2 2 3 moral moralOther U u 1 0.9413 
02-May-2018_14:43:30 7302 22 female R 2 2 4 moral immoralOther Y y 1 0.5655 
02-May-2018_14:43:32 7302 22 female R 2 2 5 moral immoralOther Y y 1 0.6256 
02-May-2018_14:43:34 7302 22 female R 2 2 6 moral immoralSelf Y y 1 0.4318 
02-May-2018_14:43:35 7302 22 female R 2 2 7 moral moralOther U u 1 0.4878 
02-May-2018_14:43:37 7302 22 female R 2 2 8 moral immoralOther Y y 1 0.5100 
02-May-2018_14:43:39 7302 22 female R 2 2 9 moral moralSelf U u 1 0.5940 
02-May-2018_14:43:40 7302 22 female R 2 2 10 moral immoralSelf Y y 1 0.4722 
02-May-2018_14:43:42 7302 22 female R 2 2 11 moral moralOther U u 1 0.4682 
02-May-2018_14:43:44 7302 22 female R 2 2 12 moral moralSelf U u 1 0.8362 
02-May-2018_14:43:46 7302 22 female R 2 2 13 moral moralSelf U u 1 0.4284 
02-May-2018_14:43:48 7302 22 female R 2 2 14 moral immoralSelf Y y 1 0.5245 
02-May-2018_14:43:49 7302 22 female R 2 2 15 moral immoralOther Y y 1 0.5426 
02-May-2018_14:43:51 7302 22 female R 2 2 16 moral moralSelf U y 0 0.4307 
02-May-2018_14:43:52 7302 22 female R 2 2 17 moral moralOther U u 1 0.5309 
02-May-2018_14:43:54 7302 22 female R 2 2 18 moral immoralSelf Y y 1 0.6728 
02-May-2018_14:43:56 7302 22 female R 2 2 19 moral immoralOther Y y 1 0.5190 
02-May-2018_14:43:58 7302 22 female R 2 2 20 moral immoralSelf Y y 1 0.6325 
02-May-2018_14:44:00 7302 22 female R 2 2 21 moral moralSelf U u 1 0.6371 
02-May-2018_14:44:01 7302 22 female R 2 2 22 moral immoralSelf Y y 1 0.6353 
02-May-2018_14:44:03 7302 22 female R 2 2 23 moral moralOther U u 1 0.4814 
02-May-2018_14:44:05 7302 22 female R 2 2 24 moral immoralOther Y y 1 0.5096 
02-May-2018_14:44:13 7302 22 female R 2 3 1 moral moralOther U u 1 0.4920 
02-May-2018_14:44:15 7302 22 female R 2 3 2 moral immoralSelf Y y 1 0.4921 
02-May-2018_14:44:16 7302 22 female R 2 3 3 moral immoralOther Y y 1 0.5422 
02-May-2018_14:44:18 7302 22 female R 2 3 4 moral moralSelf U u 1 0.5843 
02-May-2018_14:44:20 7302 22 female R 2 3 5 moral moralOther U u 1 0.5464 
02-May-2018_14:44:22 7302 22 female R 2 3 6 moral moralSelf U u 1 0.5506 
02-May-2018_14:44:23 7302 22 female R 2 3 7 moral immoralOther Y y 1 0.5145 
02-May-2018_14:44:25 7302 22 female R 2 3 8 moral immoralOther Y y 1 0.4586 
02-May-2018_14:44:26 7302 22 female R 2 3 9 moral moralOther U u 1 0.5327 
02-May-2018_14:44:28 7302 22 female R 2 3 10 moral immoralSelf Y y 1 0.5028 
02-May-2018_14:44:30 7302 22 female R 2 3 11 moral moralSelf U u 1 0.6988 
02-May-2018_14:44:32 7302 22 female R 2 3 12 moral moralSelf U u 1 0.7950 
02-May-2018_14:44:34 7302 22 female R 2 3 13 moral immoralOther Y y 1 0.5410 
02-May-2018_14:44:36 7302 22 female R 2 3 14 moral moralOther U u 1 0.4872 
02-May-2018_14:44:38 7302 22 female R 2 3 15 moral moralSelf U u 1 0.8774 
02-May-2018_14:44:40 7302 22 female R 2 3 16 moral immoralOther Y y 1 0.4735 
02-May-2018_14:44:41 7302 22 female R 2 3 17 moral immoralSelf Y y 1 0.2896 
02-May-2018_14:44:43 7302 22 female R 2 3 18 moral immoralSelf Y y 1 0.3256 
02-May-2018_14:44:44 7302 22 female R 2 3 19 moral moralOther U u 1 0.4817 
02-May-2018_14:44:46 7302 22 female R 2 3 20 moral immoralSelf Y y 1 0.4878 
02-May-2018_14:44:48 7302 22 female R 2 3 21 moral moralSelf U u 1 0.5719 
02-May-2018_14:44:49 7302 22 female R 2 3 22 moral immoralOther Y y 1 0.4460 
02-May-2018_14:44:51 7302 22 female R 2 3 23 moral immoralSelf Y y 1 0.4301 
02-May-2018_14:44:52 7302 22 female R 2 3 24 moral moralOther U u 1 0.4382 
02-May-2018_14:44:54 7302 22 female R 2 4 1 moral immoralOther Y y 1 0.4203 
02-May-2018_14:44:56 7302 22 female R 2 4 2 moral immoralSelf Y y 1 0.4366 
02-May-2018_14:44:58 7302 22 female R 2 4 3 moral moralSelf U u 1 0.7525 
02-May-2018_14:44:59 7302 22 female R 2 4 4 moral moralSelf U u 1 0.4706 
02-May-2018_14:45:01 7302 22 female R 2 4 5 moral moralSelf U u 1 0.3646 
02-May-2018_14:45:02 7302 22 female R 2 4 6 moral immoralSelf Y y 1 0.4867 
02-May-2018_14:45:04 7302 22 female R 2 4 7 moral immoralOther Y y 1 0.5749 
02-May-2018_14:45:06 7302 22 female R 2 4 8 moral immoralOther Y y 1 0.4013 
02-May-2018_14:45:07 7302 22 female R 2 4 9 moral moralOther U u 1 0.4593 
02-May-2018_14:45:09 7302 22 female R 2 4 10 moral immoralSelf Y y 1 0.4811 
02-May-2018_14:45:10 7302 22 female R 2 4 11 moral moralOther U u 1 0.5752 
02-May-2018_14:45:12 7302 22 female R 2 4 12 moral immoralOther Y y 1 0.4953 
02-May-2018_14:45:14 7302 22 female R 2 4 13 moral moralOther U u 1 0.4814 
02-May-2018_14:45:15 7302 22 female R 2 4 14 moral immoralOther Y y 1 0.4636 
02-May-2018_14:45:17 7302 22 female R 2 4 15 moral moralOther U u 1 0.4496 
02-May-2018_14:45:18 7302 22 female R 2 4 16 moral immoralOther Y y 1 0.5037 
02-May-2018_14:45:20 7302 22 female R 2 4 17 moral immoralSelf Y y 1 0.4177 
02-May-2018_14:45:22 7302 22 female R 2 4 18 moral immoralSelf Y y 1 0.3460 
02-May-2018_14:45:23 7302 22 female R 2 4 19 moral moralSelf U u 1 0.4619 
02-May-2018_14:45:25 7302 22 female R 2 4 20 moral immoralSelf Y y 1 0.5741 
02-May-2018_14:45:26 7302 22 female R 2 4 21 moral moralOther U u 1 0.4221 
02-May-2018_14:45:28 7302 22 female R 2 4 22 moral moralSelf U y 0 0.4162 
02-May-2018_14:45:30 7302 22 female R 2 4 23 moral moralOther U u 1 0.5123 
02-May-2018_14:45:31 7302 22 female R 2 4 24 moral moralSelf U u 1 0.4423 
02-May-2018_14:45:37 7302 22 female R 2 5 1 moral immoralOther Y y 1 0.6407 
02-May-2018_14:45:39 7302 22 female R 2 5 2 moral immoralOther Y y 1 0.3928 
02-May-2018_14:45:41 7302 22 female R 2 5 3 moral moralOther U u 1 0.5029 
02-May-2018_14:45:42 7302 22 female R 2 5 4 moral moralSelf U u 1 0.4950 
02-May-2018_14:45:44 7302 22 female R 2 5 5 moral immoralSelf Y y 1 0.4630 
02-May-2018_14:45:46 7302 22 female R 2 5 6 moral immoralSelf Y y 1 0.3433 
02-May-2018_14:45:47 7302 22 female R 2 5 7 moral immoralSelf Y y 1 0.3433 
02-May-2018_14:45:49 7302 22 female R 2 5 8 moral moralSelf U y 0 0.4774 
02-May-2018_14:45:51 7302 22 female R 2 5 9 moral moralSelf U u 1 0.5095 
02-May-2018_14:45:52 7302 22 female R 2 5 10 moral moralSelf U u 1 0.3456 
02-May-2018_14:45:53 7302 22 female R 2 5 11 moral moralSelf U u 1 0.3156 
02-May-2018_14:45:55 7302 22 female R 2 5 12 moral immoralOther Y y 1 0.5297 
02-May-2018_14:45:57 7302 22 female R 2 5 13 moral moralSelf U u 1 0.5879 
02-May-2018_14:45:59 7302 22 female R 2 5 14 moral immoralOther Y y 1 0.7760 
02-May-2018_14:46:01 7302 22 female R 2 5 15 moral immoralSelf Y y 1 0.5681 
02-May-2018_14:46:03 7302 22 female R 2 5 16 moral immoralSelf Y y 1 0.5582 
02-May-2018_14:46:05 7302 22 female R 2 5 17 moral moralOther U u 1 0.5963 
02-May-2018_14:46:07 7302 22 female R 2 5 18 moral moralOther U u 1 0.5204 
02-May-2018_14:46:08 7302 22 female R 2 5 19 moral moralOther U u 1 0.4145 
02-May-2018_14:46:10 7302 22 female R 2 5 20 moral immoralSelf Y y 1 0.4690 
02-May-2018_14:46:12 7302 22 female R 2 5 21 moral immoralOther Y y 1 0.5488 
02-May-2018_14:46:13 7302 22 female R 2 5 22 moral moralOther U u 1 0.5268 
02-May-2018_14:46:15 7302 22 female R 2 5 23 moral immoralOther Y y 1 0.4749 
02-May-2018_14:46:17 7302 22 female R 2 5 24 moral moralOther U u 1 0.4210 
Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
02-May-2018_14:48:28 7302 22 female R 3 1 1 self immoralOther J j 1 0.5544 
02-May-2018_14:48:30 7302 22 female R 3 1 2 self immoralSelf H h 1 0.5446 
02-May-2018_14:48:32 7302 22 female R 3 1 3 self moralSelf H h 1 0.5047 
02-May-2018_14:48:34 7302 22 female R 3 1 4 self moralSelf H h 1 0.4168 
02-May-2018_14:48:35 7302 22 female R 3 1 5 self immoralOther J j 1 0.5828 
02-May-2018_14:48:37 7302 22 female R 3 1 6 self moralOther J j 1 0.7169 
02-May-2018_14:48:39 7302 22 female R 3 1 7 self moralSelf H h 1 0.3890 
02-May-2018_14:48:40 7302 22 female R 3 1 8 self immoralSelf H h 1 0.3731 
02-May-2018_14:48:42 7302 22 female R 3 1 9 self immoralSelf H h 1 0.5173 
02-May-2018_14:48:43 7302 22 female R 3 1 10 self immoralSelf H h 1 0.4173 
02-May-2018_14:48:45 7302 22 female R 3 1 11 self moralOther J j 1 0.4594 
02-May-2018_14:48:47 7302 22 female R 3 1 12 self moralSelf H h 1 0.6075 
02-May-2018_14:48:48 7302 22 female R 3 1 13 self moralSelf H h 1 0.4556 
02-May-2018_14:48:50 7302 22 female R 3 1 14 self moralSelf H h 1 0.3377 
02-May-2018_14:48:51 7302 22 female R 3 1 15 self immoralOther J j 1 0.5637 
02-May-2018_14:48:53 7302 22 female R 3 1 16 self immoralOther J j 1 0.3939 
02-May-2018_14:48:54 7302 22 female R 3 1 17 self immoralOther J j 1 0.3219 
02-May-2018_14:48:56 7302 22 female R 3 1 18 self immoralSelf H h 1 0.5221 
02-May-2018_14:48:58 7302 22 female R 3 1 19 self moralOther J j 1 0.6360 
02-May-2018_14:48:59 7302 22 female R 3 1 20 self moralOther J j 1 0.8041 
02-May-2018_14:49:01 7302 22 female R 3 1 21 self moralOther J j 1 0.4083 
02-May-2018_14:49:02 7302 22 female R 3 1 22 self immoralSelf H h 1 0.4984 
02-May-2018_14:49:04 7302 22 female R 3 1 23 self moralOther J j 1 0.5884 
02-May-2018_14:49:06 7302 22 female R 3 1 24 self immoralOther J j 1 0.6726 
02-May-2018_14:49:08 7302 22 female R 3 2 1 self immoralOther J j 1 0.5927 
02-May-2018_14:49:10 7302 22 female R 3 2 2 self moralOther J j 1 0.5567 
02-May-2018_14:49:12 7302 22 female R 3 2 3 self immoralOther J j 1 0.4550 
02-May-2018_14:49:13 7302 22 female R 3 2 4 self moralSelf H h 1 0.5210 
02-May-2018_14:49:15 7302 22 female R 3 2 5 self moralSelf H h 1 0.3711 
02-May-2018_14:49:16 7302 22 female R 3 2 6 self immoralSelf H h 1 0.5032 
02-May-2018_14:49:18 7302 22 female R 3 2 7 self immoralSelf H h 1 0.5293 
02-May-2018_14:49:20 7302 22 female R 3 2 8 self moralOther J j 1 0.4233 
02-May-2018_14:49:21 7302 22 female R 3 2 9 self immoralSelf H h 1 0.4774 
02-May-2018_14:49:23 7302 22 female R 3 2 10 self moralOther J j 1 0.4296 
02-May-2018_14:49:24 7302 22 female R 3 2 11 self moralSelf H h 1 0.6057 
02-May-2018_14:49:26 7302 22 female R 3 2 12 self immoralOther J j 1 0.4257 
02-May-2018_14:49:28 7302 22 female R 3 2 13 self immoralSelf H h 1 0.5858 
02-May-2018_14:49:30 7302 22 female R 3 2 14 self immoralSelf H h 1 0.4979 
02-May-2018_14:49:31 7302 22 female R 3 2 15 self moralSelf H h 1 0.5100 
02-May-2018_14:49:33 7302 22 female R 3 2 16 self immoralOther J j 1 0.5162 
02-May-2018_14:49:35 7302 22 female R 3 2 17 self immoralOther J j 1 0.4023 
02-May-2018_14:49:36 7302 22 female R 3 2 18 self immoralOther J j 1 0.4663 
02-May-2018_14:49:38 7302 22 female R 3 2 19 self moralSelf H h 1 0.5564 
02-May-2018_14:49:40 7302 22 female R 3 2 20 self moralOther J j 1 0.5565 
02-May-2018_14:49:42 7302 22 female R 3 2 21 self moralOther J j 1 0.5287 
02-May-2018_14:49:43 7302 22 female R 3 2 22 self moralOther J j 1 0.5907 
02-May-2018_14:49:45 7302 22 female R 3 2 23 self moralSelf H h 1 0.6848 
02-May-2018_14:49:47 7302 22 female R 3 2 24 self immoralSelf H h 1 0.4529 
02-May-2018_14:49:54 7302 22 female R 3 3 1 self immoralSelf H h 1 0.5133 
02-May-2018_14:49:56 7302 22 female R 3 3 2 self moralOther J j 1 0.5574 
02-May-2018_14:49:57 7302 22 female R 3 3 3 self immoralOther J j 1 0.4395 
02-May-2018_14:49:59 7302 22 female R 3 3 4 self moralSelf H h 1 0.5576 
02-May-2018_14:50:00 7302 22 female R 3 3 5 self moralSelf H h 1 0.4037 
02-May-2018_14:50:02 7302 22 female R 3 3 6 self immoralOther J j 1 0.4837 
02-May-2018_14:50:04 7302 22 female R 3 3 7 self moralOther J j 1 0.5480 
02-May-2018_14:50:06 7302 22 female R 3 3 8 self immoralOther J j 1 0.4079 
02-May-2018_14:50:07 7302 22 female R 3 3 9 self moralSelf H j 0 0.3800 
02-May-2018_14:50:09 7302 22 female R 3 3 10 self immoralSelf H h 1 0.5542 
02-May-2018_14:50:11 7302 22 female R 3 3 11 self immoralOther J j 1 0.4523 
02-May-2018_14:50:13 7302 22 female R 3 3 12 self immoralOther J j 1 0.5283 
02-May-2018_14:50:14 7302 22 female R 3 3 13 self moralOther J j 1 0.6005 
02-May-2018_14:50:16 7302 22 female R 3 3 14 self immoralSelf H h 1 0.4705 
02-May-2018_14:50:18 7302 22 female R 3 3 15 self moralSelf H h 1 0.5766 
02-May-2018_14:50:20 7302 22 female R 3 3 16 self moralOther J j 1 0.6147 
02-May-2018_14:50:22 7302 22 female R 3 3 17 self immoralSelf H h 1 0.5188 
02-May-2018_14:50:24 7302 22 female R 3 3 18 self moralOther J j 1 0.5950 
02-May-2018_14:50:25 7302 22 female R 3 3 19 self moralSelf H h 1 0.5310 
02-May-2018_14:50:27 7302 22 female R 3 3 20 self moralSelf H h 1 0.3613 
