Participant,Months,Gender,Order,Task,Outcome,Looking,TaskOrder,Habituated
P27d,11.03287635,m,2,Inefficient,Unexpected,8.667591833,2,0
P27d,11.03287635,m,1,Inefficient,Expected,5.191569625,2,0
P27d,11.09862906,m,2,Efficient,Unexpected,6.724107833,4,0
P27d,11.09862906,m,1,Efficient,Expected,3.801063375,4,0
P27d,11.19725811,m,2,Instrumental,Unexpected,8.266840987,5,0
P27d,11.19725811,m,1,Instrumental,Expected,2.294180163,5,0
P27d,11.23013446,m,2,Multiagent,Unexpected,9.921260584,6,0
P27d,11.23013446,m,1,Multiagent,Expected,8.455892961,6,0
P20e,10.72327974,f,2,Inaccessible,Unexpected,5.939457052,4,1
P20e,10.72327974,f,1,Inaccessible,Expected,6.101343721,4,1
P20e,10.78903245,f,2,GoalDirected,Unexpected,3.41043942,6,1
P20e,10.78903245,f,1,GoalDirected,Expected,21.66551257,6,1
P08e,10.7561561,m,2,Inaccessible,Unexpected,3.963830997,4,0
P08e,10.7561561,m,1,Inaccessible,Expected,4.785408083,4,0
P06c,11,f,2,GoalDirected,Unexpected,6.28588128,1,0
P06c,11,f,1,GoalDirected,Expected,6.240300357,1,0
P06c,11.0657527,f,2,Instrumental,Unexpected,11.78641871,3,0
P06c,11.0657527,f,1,Instrumental,Expected,9.043269581,3,0
P06c,11.09862906,f,2,Inefficient,Unexpected,12.43093816,4,0
P06c,11.09862906,f,1,Inefficient,Expected,4.446261099,4,0
P06c,11.16438176,f,2,Efficient,Unexpected,6.667969898,6,0
P06c,11.16438176,f,1,Efficient,Expected,3.271804197,6,0
P29b,10.7561561,m,2,Multiagent,Unexpected,10.19217511,1,0
P29b,10.7561561,m,1,Multiagent,Expected,5.720698769,1,0
P29b,10.92053786,m,2,Inaccessible,Unexpected,12.68887261,6,1
P29b,10.92053786,m,1,Inaccessible,Expected,16.21642296,6,1
P08f,11.23013446,m,2,Inaccessible,Unexpected,14.67329675,4,0
P08f,11.23013446,m,1,Inaccessible,Expected,4.218786546,4,0
P01,11.23013446,f,1,Inefficient,Unexpected,18.39224902,1,0
